indicators_harmonized,Categories,Categories_2,Subcategories,Subcategories_2,usage,meas
number of threatened species by species group,biodiversity,NA,Species conservation,NA,1,km_gbf
wild bird index,biodiversity,NA,State of biodiversity,NA,1,km_gbf
mean species abundance (msa),biodiversity,NA,State of biodiversity,NA,1,km_gbf
changes in plankton biomass and abundance,biodiversity,NA,Change in biodiversity,NA,1,km_gbf
fish abundance and biomass,biodiversity,NA,State of biodiversity,NA,1,km_gbf
genetic scorecard for wild species,biodiversity,NA,Genetic resources,NA,1,km_gbf
species richness,biodiversity,NA,State of biodiversity,NA,1,km_gbf
local species richness (predicts),biodiversity,NA,State of biodiversity,NA,1,km_gbf
marine species richness,biodiversity,NA,State of biodiversity,NA,1,km_gbf
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,biodiversity,Human assets,Species conservation,Information on biodiversity,1,km_gbf
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,biodiversity,NA,Genetic resources,NA,1,km_gbf
proportion of local breeds classified as being at risk of extinction,biodiversity,NA,Species conservation,NA,2,"km_gbf,sdg"
red list index (wild relatives of farmed and domesticated species),biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,km_gbf
cms connectivity indicator,biodiversity,NA,State of biodiversity,NA,1,km_gbf
intact wilderness,ecosystems,NA,State of ecosystems,NA,1,km_gbf
loss of phylogenetic diversity,biodiversity,NA,Genetic diversity,NA,1,km_gbf
proportion of populations maintained within species,biodiversity,NA,State of biodiversity,NA,1,km_gbf
free flowing rivers,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,km_gbf
red list index (pollinators),biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,km_gbf
green status index (pollinators),biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,km_gbf
air quality index,ecosystems,NA,Abiotic conditions,NA,1,km_gbf
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),ecosystems,biodiversity,Change in ecosystems,NA,2,"km_gbf,sdg"
eflow index,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,km_gbf
change in the quality of inland water ecosystems over time,ecosystems,NA,State of ecosystems,Change in ecosystems,1,km_gbf
change in the quality of coastal water ecosystems over time,ecosystems,NA,State of ecosystems (freshwater/coastal),Change in ecosystems,1,km_gbf
level of erosion,ecosystems,NA,Abiotic conditions,NA,1,km_gbf
forestry production and trade (wood fuel),ecosystems,NA,State of ecosystems,NA,1,km_gbf
red list index (internationally traded species),biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,km_gbf
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,biodiversity,NA,Genetic resources,NA,1,km_gbf
habitat patches located within marine protected areas or integrated coastal zone management (iczm),ecosystems,NA,State of ecosystems (marine),NA,1,km_gbf
percent of total land area that is under cultivation,ecosystems,NA,State of ecosystems,NA,1,km_gbf
habitat distributional range,ecosystems,NA,State of ecosystems,NA,1,km_gbf
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",ecosystems,biodiversity,State of ecosystems,Species conservation,1,km_gbf
increase in secondary natural forest cover,ecosystems,NA,Change in ecosystems,NA,1,km_gbf
annual tropical primary tree cover loss,ecosystems,NA,Change in ecosystems,NA,1,km_gbf
global ecosystem restoration index,ecosystems,NA,Area conservation,NA,1,km_gbf
percentage of cropped landscapes with at least 10 % natural land,ecosystems,NA,State of ecosystems,NA,1,km_gbf
status of key biodiversity areas,biodiversity,NA,State of biodiversity,NA,1,km_gbf
"protected area downgrading, downsizing and degazettement (pd)",ecosystems,NA,Change in ecosystems,NA,1,km_gbf
iucn green list of protected and conserved areas,ecosystems,NA,Area conservation,NA,1,km_gbf
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),ecosystems,NA,Area conservation,NA,1,km_gbf
protected area and oecm management effectiveness (mepca) indicator,ecosystems,Governance,Area conservation,Nature-based legislation,1,km_gbf
protected area isolation index (pai),ecosystems,NA,State of ecosystems (coverage),NA,1,km_gbf
protected areas network metric (pronet),ecosystems,NA,Area conservation,NA,1,km_gbf
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,ecosystems,biodiversity,State of ecosystems,State of biodiversity,1,km_gbf
coverage of protected areas and oecms and traditional territories (by governance type),ecosystems,NA,Area conservation,NA,1,km_gbf
ramsar management effectiveness tracking tool (r-mett),ecosystems,NA,Area conservation,Species conservation,1,km_gbf
