indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
leaf properties,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
level of water stress,1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA,1,geo
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,NA,NA,NA,NA,NA,1,1,ecosystems,biodiversity,Change in ecosystems,NA,2,sua
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,NA,NA,NA,NA,NA,1,1,ecosystems,biodiversity,Change in ecosystems,NA,2,geo
live coral cover,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
livestock density of animals (chickens),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,Ecosystem services,State of biodiversity,Specific monetary valuation of nature contribution,1,ga
livestock density of cattle,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution,1,ga
livestock indigenous animals,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution,1,ga
living planet index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of biodiversity,NA,3,ga
living planet index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of biodiversity,NA,3,sua
living planet index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of biodiversity,NA,3,geo
living planet index (freshwater),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of biodiversity,State of ecosystems (freshwater/coastal),1,ga
living planet index (marine),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of biodiversity,NA,1,ga
living planet index (terrestrial),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of biodiversity,NA,1,ga
local species richness (biotime),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
local species richness (predicts),1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
loss of phylogenetic diversity,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Genetic diversity,NA,1,ga
loss of species,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
mammalian body mass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mammalian range size,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mangrove distribution and abundance,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mangrove forest area,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,2,ga
mangrove forest area,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,2,va
marine trophic index (mti),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
mean species abundance (msa),1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
mean species abundance (msa) (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mean species abundance (msa) (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
measured concentrations of o in the upper stratospere,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystems,NA,Abiotic conditions,NA,1,geo
mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
megafaunal range size,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
mountain green cover index,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,1,sua
net primary production,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
net primary production remaining in ecosystems,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
neutral variation (markers not linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,Genetic diversity,1,ga
non-neutral variation (markers linked to traits under selection),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
number of invasive alien species introduction events,1,NA,NA,NA,NA,NA,NA,1,1,Direct drivers,NA,Invasive alien species,NA,1,ga
number of managed bee hives,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Species conservation,NA,1,ga
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Genetic resources,NA,1,sua
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Genetic resources,NA,1,ga
number of protected area management effectiveness (pame) assessments,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,2,ga
