indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,source
proportion of populations maintained within species,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
free flowing rivers,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,GBF
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
red list index (pollinators),1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF
green status index (pollinators),1,0,GBF,NA,1,1,0,1,1,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF
air quality index,1,1,"GEO,GBF",NA,2,1,1,1,1,NA,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions,GBF
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),1,1,"SUA,GEO,GBF,SDG",1,4,2,2,1,1,NA,ecosystems,biodiversity,Change in ecosystems,NA,GBF
eflow index,1,0,GBF,NA,1,1,0,1,1,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,GBF
change in the quality of inland water ecosystems over time,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,Change in ecosystems,GBF
change in the quality of coastal water ecosystems over time,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),Change in ecosystems,GBF
level of erosion,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,Direct drivers,State of ecosystems,Natural drivers,GBF
biofuel production,1,1,"GEO,GBF",NA,2,1,1,1,NA,1,Ecosystem services,NA,Nature contribution,NA,GBF
fish catch potential,1,1,"GA,GBF",1,2,1,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA,GBF
forestry production and trade (wood fuel),1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
red list index (internationally traded species),1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Genetic resources,NA,GBF
habitat patches located within marine protected areas or integrated coastal zone management (iczm),1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (marine),NA,GBF
proportion of transboundary basin area with an operational arrangement for water cooperation,1,1,"SUA,GBF,SDG",1,3,2,1,1,NA,NA,Ecosystem services,NA,Nature contribution,NA,GBF
percent of total land area that is under cultivation,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
habitat distributional range,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",1,0,GBF,NA,1,1,0,1,1,NA,ecosystems,biodiversity,State of ecosystems,Species conservation,GBF
increase in secondary natural forest cover,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Change in ecosystems,NA,GBF
