indicators_harmonized,ga_extracted,sua_extracted,va_extracted,ias_extracted,ipcc_extracted,geo_extracted,ILK_ext,indic_ext,var_ext
energy security from bio-energy and fuelwood,1,NA,NA,NA,NA,NA,NA,1,NA
food produced (kcal),1,NA,NA,NA,NA,NA,NA,1,NA
food quality (nutrients),1,NA,NA,NA,NA,NA,NA,1,NA
reduced malnutrition,1,NA,NA,NA,NA,NA,NA,1,NA
marine stocks,1,NA,NA,NA,NA,NA,NA,1,NA
reduced hunger,1,NA,NA,NA,NA,NA,NA,1,NA
seafood produced (kcal),1,NA,NA,NA,NA,NA,NA,1,NA
agriculture-based materials produced (tons),1,NA,NA,NA,NA,NA,NA,1,NA
employment in materials production,1,NA,NA,NA,NA,NA,NA,1,NA
timber production (m3),1,NA,NA,NA,NA,NA,NA,1,NA
revenue from forestry,1,NA,NA,NA,NA,NA,NA,1,NA
fraction of species known to be medicinal,1,NA,NA,NA,NA,NA,NA,1,NA
natural medicinal products and manufactured bio-derived medicines,1,NA,NA,NA,NA,NA,NA,1,NA
improved health from natural medicines or bio-derived medicines,1,NA,NA,NA,NA,NA,NA,1,NA
phylogenetic diversity,1,NA,NA,NA,NA,NA,NA,1,NA
gene bank accession and available genetic resources,1,NA,NA,NA,NA,NA,NA,1,NA
proximity of people and nature,1,NA,NA,NA,NA,NA,NA,1,NA
ideas and products mimicking or inspired by nature,1,NA,NA,NA,NA,NA,NA,1,NA
economic value of bio-inspired production,1,NA,NA,NA,NA,NA,NA,1,NA
diversity of life from which to learn,1,NA,NA,NA,NA,NA,NA,1,NA
area of natural and traditional landscapes and seascapes,1,NA,NA,NA,NA,NA,NA,1,NA
"visitation rates to natural terrestrial, coastal, and marine areas",1,NA,NA,NA,NA,NA,NA,1,NA
"increased awareness, care, mental health, cultural security, life satisfaction - urban",1,NA,NA,NA,NA,NA,NA,1,NA
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",1,NA,NA,NA,NA,NA,NA,1,NA
"daily exposure natural terrestrial, coastal and marine areas",1,NA,NA,NA,NA,NA,NA,1,NA
stability of land use and land cover,1,NA,NA,NA,NA,NA,NA,1,NA
identity value - urban,1,NA,NA,NA,NA,NA,NA,1,NA
identity value - rural and iplc,1,NA,NA,NA,NA,NA,NA,1,NA
visitation to natural areas,1,NA,NA,NA,NA,NA,NA,1,NA
percentage of population living in dense urban areas,1,NA,NA,NA,NA,NA,NA,1,NA
historic land use change since 1970,1,NA,NA,NA,NA,NA,NA,1,NA
leaf surface area,1,NA,NA,NA,NA,NA,NA,NA,1
net carbon sequestration,1,NA,NA,NA,NA,NA,NA,NA,1
transfer of water to the atmosphere,1,NA,NA,NA,NA,NA,NA,NA,1
biotic productivity,1,NA,NA,NA,NA,NA,NA,NA,1
extent of protected and intact habitat globally,1,NA,NA,NA,NA,NA,NA,1,NA
correlation between high cultural diversity and areas of high biodiversity,1,NA,NA,NA,NA,NA,NA,NA,1
population extinctions,1,NA,NA,NA,NA,NA,NA,NA,1
range contractions,1,NA,NA,NA,NA,NA,NA,NA,1
biomass abundance,1,NA,NA,NA,NA,NA,NA,1,NA
production,1,NA,NA,NA,NA,NA,NA,1,NA
species distribution area and shift,1,NA,NA,NA,NA,NA,NA,1,NA
species richness,1,NA,NA,1,NA,NA,NA,1,1
habitat area and quality,1,NA,NA,NA,NA,NA,NA,1,NA
organisms` size or growth,1,NA,NA,NA,NA,NA,NA,1,NA
reproduction rate,1,NA,NA,NA,NA,NA,NA,1,NA
"pest, invasive or harmful species",1,NA,NA,NA,NA,NA,NA,1,NA
c pool,1,NA,NA,NA,NA,NA,NA,1,NA
