indic_id,indicators,indicators_harmonized
GA_2.2_sm_58,Global mammal and bird species remaining,global mammal and bird species remaining
GA_2.2_sm_59,Red List Index,red list index
GA_2.2_sm_60,Red List Index (forest specialists),red list index (forest specialists)
GA_2.2_sm_61,Red List Index (internationally traded birds),red list index (internationally traded birds)
GA_2.2_sm_62,Red List Index (pollinators),red list index (pollinators)
GA_2.2_sm_63,Red List Index (for utilized species),red list index (for utilized species)
GA_2.2_sm_64,Red List Index (wild relatives),red list index (wild relatives)
GA_2.2_sm_65,Extent of suitable habitat (mammals),extent of suitable habitat (mammals)
GA_2.2_sm_66,Mammalian range size,mammalian range size
GA_2.2_sm_67,Megafaunal range size,megafaunal range size
GA_2.2_sm_68,Species Habitat Index,species habitat index
GA_2.2_sm_69,fish stocks within biologically sustainable levels,proportion of fish stocks within biologically sustainable levels
GA_2.2_sm_70,Living Planet Index (freshwater),living planet index (freshwater)
GA_2.2_sm_71,Living Planet Index (marine),living planet index (marine)
GA_2.2_sm_72,Living Planet Index,living planet index
GA_2.2_sm_73,Living Planet Index (terrestrial),living planet index (terrestrial)
GA_2.2_sm_74,Predatory fish biomass,predatory fish biomass
GA_2.2_sm_75,Prey fish biomass,prey fish biomass
GA_2.2_sm_76,Wild Bird Index (habitat specialists),wild bird index (habitat specialists)
GA_2.2_sm_77,Wild mammal biomass,wild mammal biomass
GA_2.2_sm_78,Functional richness (Madingley),functional richness (madingley)
GA_2.2_sm_79,Mammalian body mass,mammalian body mass
GA_2.2_sm_80,Marine Trophic Index,marine trophic index (mti)
GA_2.3_sm_1,Biodiversity Intactness Index,biodiversity intactness index
GA_2.3_sm_2,Extent of each ecoregion globally,extent of each ecoregion globally
GA_2.3_sm_3,Extent of Suitable Habitat,extent of suitable habitat
GA_2.3_sm_5,Landscape dominance of habitat,landscape dominance of habitat
GA_2.3_sm_6,Number of managed bee hives,number of managed bee hives
GA_2.3_sm_7,Biodiversity Habitat Index,biodiversity habitat index
GA_2.3_sm_8,Abundance of managed and wild pollinators,abundance of managed and wild pollinators
GA_2.3_sm_9,Pollinator diversity,pollinator diversity
GA_2.3_sm_10,Proportion pollinator dependent vegetables/fruit in food supply,proportion pollinator dependent vegetables/fruit in food supply
GA_2.3_sm_11,Number of visitors to National Parks in the EEUU,number of visitors to national parks in the eeuu
GA_2.3_sm_12,Output from pollinator dependent crops,output from pollinator dependent crops
GA_2.3_sm_13,Carbon stocks in ecosystems,carbon stocks in ecosystems
GA_2.3_sm_14,Prevented emissions from biofuel use,prevented emissions from biofuel use
GA_2.3_sm_15,Vegetation type and cover in areas prone to soil dust emission,vegetation type and cover in areas prone to soil dust emission
GA_2.3_sm_16,Vegetatio leaf area index (LAI),leaf area index (lai)
GA_2.3_sm_17,Leaf properties,leaf properties
GA_2.3_sm_18,Vegetation type and cover in areas prone to soil dust movement,vegetation type and cover in areas prone to soil dust movement
GA_2.3_sm_19,Concentration of air pollutants in the air,concentration of air pollutants in the air
GA_2.3_sm_20,Retention and prevented emissions of air pollutants by ecosystems,retention and prevented emissions of air pollutants by ecosystems
