indic_id,indicators,indicators_harmonized
GAsup23_NCP9_83,Mangrove distribution and abundance,mangrove distribution and abundance
GAsup23_NCP9_84,Saltmarsh distribution and abundance,saltmarsh distribution and abundance
GAsup23_NCP9_85,Coastal forest distribution and extent,coastal forest distribution and extent
GAsup23_NCP9_86,Globally available combined Bathy/Topo,globally available combined bathy/topo
GAsup23_NCP9_87,Globally available data for waves and wind,globally available data for waves and wind
GAsup23_NCP9_88,Globally available continental shelf,globally available continental shelf
GAsup23_NCP9_89,Thousands of deaths each year,thousands of deaths each year
GAsup23_NCP9_90,Billions of dollars each year,billions of dollars each year
GAsup23_NCP9_91,Fraction of people die due to flood,fraction of people die due to flood
GAsup23_NCP9_92,Fraction of people infected with disease of flood,fraction of people infected with disease of flood
GAsup23_NCP9_93,post-traumatic stress disorder score,post-traumatic stress disorder score
GAsup23_NCP9_94,cumulative exposure indicators,cumulative exposure indicators
GAsup23_NCP9_95,Psychological health indicators,psychological health indicators
GAsup23_NCP9_96,direct tangible damage loss,direct tangible damage loss
GAsup23_NCP9_97,Landscape inundated by the flood,landscape inundated by the flood
GAsup23_NCP9_98,"Absolute damage to roads and transportation, power plant,etc","absolute damage to roads and transportation, power plant,etc"
GAsup23_NCP9_99,Lowered incidence and impact of hazards,lowered incidence and impact of hazards
GAsup23_NCP9_100,lowered flood peaks,lowered flood peaks
GAsup23_NCP9_101,lowered fuel load (fires),lowered fuel load (fires)
GAsup23_NCP9_102,Coastal protection,coastal protection
GAsup23_NCP9_103,Landslides stabilization,landslides stabilization
GAsup23_NCP9_104,Incidence of hazards,incidence of hazards
GAsup23_NCP9_105,Reduced morbidity and premature mortality,reduced morbidity and premature mortality
GAsup23_NCP9_106,Reduced property loss,reduced property loss
GAsup23_NCP10_107,Near- or on-farm habitat diversity,near- or on-farm habitat diversity
GAsup23_NCP10_108,Landscape complexity,landscape complexity
GAsup23_NCP10_109,Abundance of alternative hosts species,abundance of alternative hosts species
GAsup23_NCP10_110,Species richness,species richness
