indicator_harmonized,indic_id,var_indic,ILK
el niño-southern oscillation (enso) index,IPCC_5_36_278,2,NA
15n/14n isotope ratio,IPCC_5_36_279,1,NA
position of 15n atom in atmospheric n2o,IPCC_5_36_279,1,NA
atmospheric inversions,IPCC_5_40_281,1,NA
interannual variability of primary production (pp),IPCC_5_57_287,1,NA
global carbon budget,IPCC_5_70_289,1,NA
global dust deposition,IPCC_6_16_296,1,NA
global annual mean tropospheric ozone burden,IPCC_6_22_300,1,NA
tropospheric no2 abundance,IPCC_6_23_302,1,NA
satellite formaldehyde (hcho) observations,IPCC_6_26_304,1,NA
sulphate in precipitation,IPCC_6_30_309,1,NA
surface warming,IPCC_6_56_315,2,NA
sectoral emissions density,IPCC_6_63_319,2,NA
population-weighted pm2.5 concentrations,IPCC_6_73_321,2,NA
population-weighted ozone concentrations,IPCC_6_73_321,2,NA
transient climate response tcr,IPCC_7_9_323,1,NA
equilibrium climate sensitivity ecs,IPCC_7_9_323,1,NA
surface turbulent fluxes,IPCC_7_17_328,1,NA
aerosol index,IPCC_7_29_329,2,NA
ghs effective radiative forcing,IPCC_7_44_330,2,NA
transient climate response tcr,IPCC_7_44_330,2,NA
antarctic ice sheet loss,IPCC_7_55_334,1,NA
net climate feedback,IPCC_7_56_335,1,NA
planck temperature response,IPCC_7_56_335,1,NA
sea surface temperature (sst),IPCC_7_67_343,1,NA
global energy budget,IPCC_7_77_351,1,NA
global mean surface temperature (gmst),IPCC_7_82_356,2,NA
toa energy budget,IPCC_7_82_356,2,NA
profile of effective radiative forcing (erf),IPCC_7_90_359,1,NA
emission of particular compounds,IPCC_7_90_359,1,NA
radiative forcing,IPCC_7_91_360,1,NA
absolute global forcing potential (agfp),IPCC_7_91_360,1,NA
global mean surface temperature (gmst),IPCC_7_91_360,1,NA
absolute global temperature change potential (agtp),IPCC_7_91_360,1,NA
changes in precipitation frequency and intensity,IPCC_8_27_367,1,NA
precipitation,IPCC_8_28_370,1,NA
snowfall,IPCC_8_28_371,1,NA
leaf area index (lai),IPCC_8_30_372,2,NA
tree rings,IPCC_8_33_374,1,NA
soil moisture,IPCC_8_33_375,1,NA
south pacific convergence zone (spcz),IPCC_8_39_378,1,NA
inter-tropical convergence zone (itcz) narrowing,IPCC_8_39_378,1,NA
rainfall,IPCC_8_42_382,1,NA
poleward shifts in the south atlantic convergence zone (sacz),IPCC_8_45_390,1,NA
land rainfall over mc,IPCC_8_46_393,1,NA
